Text,Labels,Mapped_Text
लक्षणेनाभिप्रती आभिमुख्ये,लक्षणेन+अभिप्रती+आभिमुख्ये,लक्षणेनाभिप्रती NSP आभिमुख्ये NSP
अनुर्यत्समया,अनुः+यत्समया,अनुर्यत्समया NSP
यस्य चायामः,यस्य+च+आयामः,यस्य NSP चायामः NSP
नदीभिश्च,नदीभिः+च,नदीभिश्च NSP
अन्यपदार्थे च संज्ञायाम्‌,अन्यपदार्थे+च+संज्ञायाम्,अन्यपदार्थे NSP च NSP संज्ञायाम्‌ NSP
द्विगुश्च,द्विगुः+च,द्विगुश्च NSP
स्वयं क्तेन,स्वयम्+क्तेन,स्वयं NSP क्तेन NSP
तृतीया तत्कृतार्थेन गुणवचनेन,तृतीया+तत्कृत+अर्थेन+गुणवचनेन,तृतीया NSP तत्कृतार्थेन NSP गुणवचनेन NSP
कर्तृकरणे कृता बहुलम्‌,कर्तृकरणे+कृता+बहुलम्,कर्तृकरणे NSP कृता NSP बहुलम्‌ NSP
कृत्यैरधिकार्थवचने,कृत्यैः+अधिकार्थवचने,कृत्यैरधिकार्थवचने NSP
अन्नेन व्यञ्जनम्‌,अन्नेन+व्यञ्जनम्,अन्नेन NSP व्यञ्जनम्‌ NSP
भक्ष्येण मिश्रीकरणम्‌,भक्ष्येण+मिश्रीकरणम्,भक्ष्येण NSP मिश्रीकरणम्‌ NSP
अपेतापोढमुक्तपतितापत्रस्तैरल्पशः,अपेतापोढमुक्तपतितापत्रस्तैः+अल्पशः,अपेतापोढमुक्तपतितापत्रस्तैरल्पशः NSP
सिद्धशुष्कपक्वबन्धैश्च,सिद्धशुष्कपक्वबन्धैः+च,सिद्धशुष्कपक्वबन्धैश्च NSP
कृत्यैर्ऋणे,कृत्यैः+ऋणे,कृत्यैर्ऋणे NSP
क्तेनाहोरात्रावयवाः,क्तेन+अहोरात्रावयवाः,क्तेनाहोरात्रावयवाः NSP
पात्रेसमितादयश्च,पात्रेसंमितादयः+च,पात्रेसमितादयश्च NSP
संख्यापूर्वो द्विगुः,संख्यापूर्वः+द्विगुः,संख्यापूर्वो NSP द्विगुः NSP
उपमितं व्याघ्रादिभिः सामान्याप्रयोगे,उपमितम्+व्याघ्रादिभिः+सामान्याप्रयोगे,उपमितं NSP व्याघ्रादिभिः NSP सामान्याप्रयोगे NSP
विशेषणं विशेष्येण बहुलम्‌,विशेषणम्+विशेष्येण+बहुलम्,विशेषणं NSP विशेष्येण NSP बहुलम्‌ NSP
पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराश्च,पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराः+च,पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराश्च NSP
क्तेन नञ्विशिष्टेनानञ्,क्तेन+नञ्विशिष्टेन+अनञ्,क्तेन NSP नञ्विशिष्टेनानञ् NSP
वृन्दारकनागकुञ्जरैः पूज्यमानम्‌,वृन्दारकनागकुञ्जरैः+पूज्यमानम्,वृन्दारकनागकुञ्जरैः NSP पूज्यमानम्‌ NSP
किं क्षेपे,किम्+क्षेपे,किं NSP क्षेपे NSP
प्रशंसावचनैश्च,प्रशंसावचनैः+च,प्रशंसावचनैश्च NSP
